dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.900142,1.970914,14.115457,1.195466,-6.425572,0.000000,5.843277
0.020000,16.920626,1.961309,14.138081,1.066955,-6.425572,0.000000,5.846237
0.020000,16.938807,1.952847,14.158135,0.938443,-6.425572,0.000000,5.848868
0.020000,16.954676,1.945508,14.175619,0.809932,-6.425572,0.000000,5.851168
0.020000,16.968225,1.939277,14.190532,0.681421,-6.425572,0.000000,5.853134
0.020000,16.979449,1.934140,14.202876,0.552909,-6.425572,0.000000,5.854763
0.020000,16.988341,1.930086,14.212649,0.424398,-6.425572,-0.000000,5.856055
0.020000,16.994898,1.927105,14.219852,0.295886,-6.425572,0.000000,5.857008
0.020000,16.999117,1.925191,14.224484,0.167375,-6.425572,0.000000,5.857622
0.020000,17.001112,1.924288,14.226674,0.051560,-5.790764,31.740423,5.857912
0.020000,17.001581,1.924075,14.227189,0.000000,-2.577978,160.639300,5.857980
0.020000,17.001581,1.924075,14.227189,0.000000,0.000000,128.898877,5.857980
