dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.313718,2.780595,11.051460,6.187725,-6.060181,-2.003772,5.585571
0.020000,14.407008,2.703044,11.172774,6.065706,-6.100952,-2.038580,5.593787
0.020000,14.499036,2.627824,11.291632,5.942878,-6.141423,-2.023517,5.602155
0.020000,14.589766,2.554931,11.408017,5.819246,-6.181600,-2.008855,5.610653
0.020000,14.679164,2.484359,11.521913,5.694805,-6.222036,-2.021830,5.619259
0.020000,14.767190,2.416098,11.633304,5.569571,-6.261692,-1.982776,5.627953
0.020000,14.853802,2.350136,11.742175,5.443535,-6.301822,-2.006492,5.636712
0.020000,14.938960,2.286455,11.848509,5.316720,-6.340722,-1.944992,5.645517
0.020000,15.022618,2.225038,11.952292,5.189118,-6.380134,-1.970635,5.654346
0.020000,15.104733,2.165863,12.053507,5.060749,-6.418457,-1.916139,5.663179
0.020000,15.185258,2.108907,12.152139,4.931632,-6.455819,-1.868108,5.671996
0.020000,15.264148,2.054142,12.248175,4.801769,-6.493169,-1.867479,5.680777
0.020000,15.341356,2.001541,12.341598,4.671188,-6.529063,-1.794727,5.689502
0.020000,15.416836,1.951072,12.432396,4.539899,-6.564408,-1.767211,5.698154
0.020000,15.490540,1.902703,12.520555,4.407929,-6.598511,-1.705182,5.706713
0.020000,15.562423,1.856398,12.606061,4.275298,-6.631556,-1.652265,5.715162
0.020000,15.632440,1.812123,12.688901,4.142028,-6.663519,-1.598120,5.723485
0.020000,15.700544,1.769839,12.769064,4.008148,-6.694003,-1.524222,5.731664
0.020000,15.766692,1.729509,12.846538,3.873672,-6.723769,-1.488279,5.739684
0.020000,15.830841,1.691092,12.921311,3.738642,-6.751523,-1.387722,5.747530
0.020000,15.892949,1.654549,12.993372,3.603075,-6.778339,-1.340795,5.755189
0.020000,15.952976,1.619838,13.062712,3.466994,-6.804051,-1.285603,5.762645
0.020000,16.010882,1.586919,13.129321,3.330451,-6.827131,-1.153972,5.769887
0.020000,16.066630,1.555751,13.193190,3.193438,-6.850650,-1.175982,5.776902
0.020000,16.120182,1.526293,13.254310,3.056008,-6.871503,-1.042646,5.783680
0.020000,16.171506,1.498505,13.312674,2.918189,-6.890977,-0.973672,5.790209
0.020000,16.220567,1.472346,13.368273,2.779972,-6.910826,-0.992453,5.796480
0.020000,16.267336,1.447777,13.421102,2.641448,-6.926220,-0.769729,5.802483
0.020000,16.311781,1.424760,13.471154,2.502572,-6.943767,-0.877344,5.808210
0.020000,16.353875,1.403258,13.518422,2.363424,-6.957398,-0.681555,5.813653
0.020000,16.393593,1.383234,13.562902,2.223999,-6.971271,-0.693650,5.818806
0.020000,16.430911,1.364654,13.604589,2.084334,-6.983272,-0.600026,5.823660
0.020000,16.465804,1.347486,13.643477,1.944420,-6.995690,-0.620890,5.828211
0.020000,16.498253,1.331697,13.679564,1.804333,-7.004331,-0.432062,5.832453
0.020000,16.528238,1.317258,13.712844,1.664020,-7.015681,-0.567483,5.836381
0.020000,16.555742,1.304141,13.743316,1.523574,-7.022290,-0.330489,5.839990
0.020000,16.580749,1.292321,13.770975,1.382982,-7.029595,-0.365208,5.843277
0.020000,16.603243,1.281774,13.795820,1.242210,-7.038602,-0.450395,5.846237
0.020000,16.623214,1.272479,13.817847,1.101393,-7.040824,-0.111085,5.848868
0.020000,16.640648,1.264416,13.837056,0.960408,-7.049260,-0.421780,5.851168
0.020000,16.655537,1.257569,13.853443,0.819382,-7.051309,-0.102457,5.853134
0.020000,16.667872,1.251923,13.867009,0.678277,-7.055256,-0.197374,5.854763
0.020000,16.677646,1.247467,13.877751,0.537119,-7.057880,-0.131170,5.856055
0.020000,16.684854,1.244191,13.885668,0.395863,-7.062796,-0.245796,5.857008
0.020000,16.689492,1.242087,13.890761,0.254646,-7.060844,0.097573,5.857622
0.020000,16.691684,1.241093,13.893168,0.120357,-6.714472,17.318605,5.857912
0.020000,16.692201,1.240859,13.893735,0.028346,-4.600574,105.694911,5.857980
0.020000,16.692201,1.240859,13.893735,0.000000,-1.417277,159.164852,5.857980
